Mois;Qualité;Territoire;Production totale;Production nucléaire;Production thermique totale;Production thermique charbon;Production thermique fioul;Production thermique gaz;Production hydraulique;Production éolien;Production solaire;Production bioénergies;Consommation totale;Solde exportateur;Echanges export;Echanges import;Echanges avec le Royaume-Uni;Echanges avec l'Espagne;Echanges avec l'Italie;Echanges avec la Suisse;Echanges avec l'Allemagne et la Belgique;
2014-10;Données définitives;PACA;1127;;411;187;90;133;582;8;79;45;2996;-1869;;;;;;;;
2014-10;Données définitives;Pays-de-la-Loire;426;;296;242;45;8;0;70;26;32;1987;-1561;;;;;;;;
2014-11;Données définitives;Grand-Est;10023;8199;689;299;0;389;725;344;13;51;4011;5925;;;;;;;;
2014-11;Données définitives;Nouvelle-Aquitaine;4133;3532;81;;0;80;263;89;57;109;3592;540;;;;;;;;
2014-11;Données définitives;Auvergne-Rhône-Alpes;9949;7339;208;0;34;173;2228;67;25;79;5643;3909;;;;;;;;
2014-11;Données définitives;Bourgogne-Franche-Comté;196;;82;0;0;82;55;36;7;14;1807;-1611;;;;;;;;
2014-11;Données définitives;Bretagne;267;;57;;0;57;52;125;6;26;1899;-1635;;;;;;;;
2014-11;Données définitives;Centre-Val de Loire;7382;7139;52;;0;52;9;136;7;38;1644;5738;;;;;;;;
2014-11;Données définitives;France;47114;36290;3500;944;316;2239;4906;1503;244;669;40617;5573;8370;2796;1362;462;1984;1186;577;
2014-11;Données définitives;Ile-de-France;430;;323;63;19;240;5;2;2;95;6255;-5824;;;;;;;;
2014-11;Données définitives;Occitanie;1845;800;49;;4;44;687;186;55;64;2940;-1310;;;;;;;;
2014-11;Données définitives;Normandie;6253;5842;263;-2;33;232;9;96;4;37;2435;3817;;;;;;;;
2014-11;Données définitives;Hauts-de-France;4341;3435;522;54;1;466;1;306;4;70;4514;-173;;;;;;;;
2014-11;Données définitives;PACA;1523;;584;179;117;287;842;7;40;49;3430;-1912;;;;;;;;
2014-11;Données définitives;Pays-de-la-Loire;657;;507;348;26;131;2;101;14;32;2278;-1620;;;;;;;;
2014-12;Données définitives;Grand-Est;10865;8721;936;425;1;509;627;521;5;52;4500;6258;;;;;;;;
2014-12;Données définitives;Nouvelle-Aquitaine;4968;4192;91;;0;91;451;76;44;111;4600;368;;;;;;;;
2014-12;Données définitives;Auvergne-Rhône-Alpes;10687;8000;244;2;39;202;2269;74;17;79;6705;3657;;;;;;;;
2014-12;Données définitives;Bourgogne-Franche-Comté;216;;72;0;0;72;70;55;3;14;2043;-1827;;;;;;;;
2014-12;Données définitives;Bretagne;311;;76;;0;76;54;150;4;25;2318;-2011;;;;;;;;
2014-12;Données définitives;Centre-Val de Loire;8745;8440;56;;0;56;17;190;4;36;2109;6635;;;;;;;;
2014-12;Données définitives;France;54731;41633;4321;1228;313;2779;5772;2118;190;695;49350;4535;7829;3294;1263;244;1574;1094;358;
2014-12;Données définitives;Ile-de-France;600;;485;176;4;304;4;4;1;105;7847;-7246;;;;;;;;
2014-12;Données définitives;Occitanie;3007;1377;50;;0;49;1196;270;46;66;3947;-1128;;;;;;;;
2014-12;Données définitives;Normandie;7635;7160;282;-3;34;250;9;135;2;45;2927;4708;;;;;;;;
2014-12;Données définitives;Hauts-de-France;4885;3741;554;30;4;520;1;515;2;70;5151;-266;;;;;;;;
2014-12;Données définitives;PACA;1944;;804;237;120;446;1030;15;42;51;4191;-2249;;;;;;;;
2014-12;Données définitives;Pays-de-la-Loire;725;;574;359;16;198;2;105;9;32;2835;-2109;;;;;;;;
2015-01;Données définitives;Grand-Est;11030;8398;1175;565;4;605;808;579;9;59;4770;6145;;;;;;;;
2015-01;Données définitives;Nouvelle-Aquitaine;4861;4103;105;;0;105;377;97;54;121;4952;-91;;;;;;;;
2015-01;Données définitives;Auvergne-Rhône-Alpes;12696;9616;242;6;39;196;2659;70;24;81;7123;5249;;;;;;;;
2015-01;Données définitives;Bourgogne-Franche-Comté;312;;93;0;0;93;122;75;4;16;2137;-1825;;;;;;;;
2015-01;Données définitives;Bretagne;353;;80;;0;80;58;183;5;25;2462;-2113;;;;;;;;
2015-01;Données définitives;Centre-Val de Loire;8787;8445;57;;0;57;21;224;6;32;2177;6609;;;;;;;;
2015-01;Données définitives;France;58310;43792;5049;1624;385;3039;6212;2299;251;704;52536;4922;7753;2830;1081;622;2001;1770;-553;
2015-01;Données définitives;Ile-de-France;602;;500;200;0;299;2;4;1;93;8361;-7758;;;;;;;;
2015-01;Données définitives;Occitanie;3322;1835;45;;-3;49;1085;230;62;62;4219;-1091;;;;;;;;
2015-01;Données définitives;Normandie;8002;7500;292;-3;57;238;10;150;3;43;3048;4953;;;;;;;;
2015-01;Données définitives;Hauts-de-France;5262;3892;746;118;2;626;1;534;3;83;5473;-211;;;;;;;;
2015-01;Données définitives;PACA;1965;;816;213;122;480;1033;12;54;49;4519;-2559;;;;;;;;
2015-01;Données définitives;Pays-de-la-Loire;957;;778;524;47;206;3;130;12;32;3051;-2093;;;;;;;;
2015-02;Données définitives;Grand-Est;9031;6585;1338;558;4;775;578;450;20;56;4405;4528;;;;;;;;
2015-02;Données définitives;Nouvelle-Aquitaine;4174;3351;101;;0;100;422;98;87;112;4573;-399;;;;;;;;
2015-02;Données définitives;Auvergne-Rhône-Alpes;11739;8451;316;7;36;272;2798;66;33;72;6683;4814;;;;;;;;
2015-02;Données définitives;Bourgogne-Franche-Comté;290;;101;0;0;101;103;61;10;13;2000;-1710;;;;;;;;
2015-02;Données définitives;Bretagne;322;;76;;3;72;53;162;9;21;2342;-2024;;;;;;;;
2015-02;Données définitives;Centre-Val de Loire;7988;7669;55;;0;54;23;197;10;32;2034;5954;;;;;;;;
2015-02;Données définitives;France;52143;37483;5363;1712;339;3312;6381;1910;358;646;48676;2807;6358;3551;1006;-373;1821;1334;-982;
2015-02;Données définitives;Ile-de-France;687;;596;220;23;352;2;4;3;81;7579;-6891;;;;;;;;
2015-02;Données définitives;Occitanie;3460;1708;40;;-3;44;1353;219;79;59;3947;-600;;;;;;;;
2015-02;Données définitives;Normandie;6472;6041;264;-6;47;223;12;108;5;40;2824;3648;;;;;;;;
2015-02;Données définitives;Hauts-de-France;4933;3674;779;85;1;692;1;395;5;76;4976;-43;;;;;;;;
2015-02;Données définitives;PACA;1906;;820;312;127;380;963;11;64;46;4222;-2317;;;;;;;;
2015-02;Données définitives;Pays-de-la-Loire;986;;799;533;24;241;3;131;21;30;2857;-1870;;;;;;;;
2015-03;Données définitives;Grand-Est;7453;5235;886;426;4;455;762;468;44;54;4213;3118;;;;;;;;
2015-03;Données définitives;Nouvelle-Aquitaine;4432;3477;101;;2;98;527;91;114;121;4213;219;;;;;;;;
2015-03;Données définitives;Auvergne-Rhône-Alpes;11430;8230;247;6;40;200;2737;74;57;82;6326;4747;;;;;;;;
2015-03;Données définitives;Bourgogne-Franche-Comté;287;;105;0;0;105;94;53;17;16;1808;-1520;;;;;;;;
2015-03;Données définitives;Bretagne;340;;81;;2;79;53;163;14;27;2224;-1888;;;;;;;;
2015-03;Données définitives;Centre-Val de Loire;8404;8092;56;;0;56;23;180;16;35;1860;6544;;;;;;;;
2015-03;Données définitives;France;50683;36915;4023;1108;299;2616;6497;2005;537;705;45739;4103;7394;3290;1153;44;1790;1374;-258;
2015-03;Données définitives;Ile-de-France;594;;494;173;10;310;4;3;5;86;7242;-6647;;;;;;;;
2015-03;Données définitives;Occitanie;3665;1815;49;;2;46;1372;252;114;60;3450;84;;;;;;;;
2015-03;Données définitives;Normandie;7003;6579;236;-5;46;195;14;115;9;48;2713;4290;;;;;;;;
2015-03;Données définitives;Hauts-de-France;4694;3484;647;60;1;585;1;465;10;85;4929;-234;;;;;;;;
2015-03;Données définitives;PACA;1593;;625;225;112;287;813;10;91;52;3868;-2276;;;;;;;;
2015-03;Données définitives;Pays-de-la-Loire;629;;440;221;24;194;3;121;31;32;2675;-2046;;;;;;;;
2015-04;Données définitives;Grand-Est;6724;5024;388;225;2;160;854;346;57;53;3598;3002;;;;;;;;
2015-04;Données définitives;Nouvelle-Aquitaine;3988;3195;40;;6;33;401;68;186;95;3278;709;;;;;;;;
2015-04;Données définitives;Auvergne-Rhône-Alpes;10103;7275;130;4;39;86;2487;66;81;61;5283;4439;;;;;;;;
2015-04;Données définitives;Bourgogne-Franche-Comté;203;;26;0;0;26;91;50;24;10;1670;-1467;;;;;;;;
2015-04;Données définitives;Bretagne;200;;2;;2;0;46;104;21;25;1712;-1517;;;;;;;;
2015-04;Données définitives;Centre-Val de Loire;6245;6027;0;;0;0;10;150;25;31;1438;4807;;;;;;;;
2015-04;Données définitives;France;41509;31187;1734;548;252;932;5766;1452;782;585;36898;3896;7526;3629;1310;408;1337;741;98;
2015-04;Données définitives;Ile-de-France;149;;50;45;2;3;4;2;8;82;5540;-5391;;;;;;;;
2015-04;Données définitives;Occitanie;3165;1645;-2;;-2;0;1129;176;167;49;2686;461;;;;;;;;
2015-04;Données définitives;Normandie;6006;5534;341;168;49;123;11;72;14;32;2184;3821;;;;;;;;
2015-04;Données définitives;Hauts-de-France;3220;2483;333;28;1;303;1;317;15;69;4171;-951;;;;;;;;
2015-04;Données définitives;PACA;1144;;310;82;83;144;658;8;120;46;3096;-1952;;;;;;;;
2015-04;Données définitives;Pays-de-la-Loire;227;;65;-4;20;49;2;88;44;26;2074;-1847;;;;;;;;
2015-05;Données définitives;Grand-Est;8188;6711;44;22;4;18;970;346;58;55;3357;4706;;;;;;;;
2015-05;Données définitives;Nouvelle-Aquitaine;2872;2081;13;;1;11;396;67;194;118;2959;-87;;;;;;;;
2015-05;Données définitives;Auvergne-Rhône-Alpes;10145;6960;34;5;24;4;2907;86;91;65;4839;4922;;;;;;;;
2015-05;Données définitives;Bourgogne-Franche-Comté;196;;19;0;0;19;83;51;25;16;1491;-1295;;;;;;;;
2015-05;Données définitives;Bretagne;208;;0;;0;0;45;112;21;28;1587;-1383;;;;;;;;
2015-05;Données définitives;Centre-Val de Loire;5743;5529;0;;0;0;10;139;27;35;1308;4434;;;;;;;;
2015-05;Données définitives;France;40641;30329;747;34;242;471;6500;1580;843;638;33927;5782;8310;2527;1403;817;1389;641;1529;
2015-05;Données définitives;Ile-de-France;96;;8;-1;10;0;3;2;8;72;5155;-5059;;;;;;;;
2015-05;Données définitives;Occitanie;3283;1644;-2;;-2;0;1176;234;182;48;2453;609;;;;;;;;
2015-05;Données définitives;Normandie;5169;4827;189;13;50;125;9;85;14;42;2050;3118;;;;;;;;
2015-05;Données définitives;Hauts-de-France;3268;2574;245;1;1;243;1;350;15;80;3874;-605;;;;;;;;
2015-05;Données définitives;PACA;1193;;127;-2;82;47;865;11;139;49;2836;-1642;;;;;;;;
2015-05;Données définitives;Pays-de-la-Loire;175;;10;-4;15;0;1;89;48;25;1872;-1696;;;;;;;;
2015-06;Données définitives;Grand-Est;7879;6468;55;38;3;14;936;307;65;45;3287;4481;;;;;;;;
2015-06;Données définitives;Nouvelle-Aquitaine;2631;2024;13;;2;10;191;46;235;120;2970;-338;;;;;;;;
2015-06;Données définitives;Auvergne-Rhône-Alpes;10056;7200;45;4;35;5;2606;44;101;58;4848;4891;;;;;;;;
2015-06;Données définitives;Bourgogne-Franche-Comté;122;;19;0;0;19;26;34;28;13;1501;-1381;;;;;;;;
2015-06;Données définitives;Bretagne;196;;2;;2;0;45;97;27;24;1471;-1280;;;;;;;;
2015-06;Données définitives;Centre-Val de Loire;6515;6331;1;;0;1;2;116;32;31;1349;5166;;;;;;;;
2015-06;Données définitives;France;39927;30719;759;56;265;437;5641;1254;951;600;33256;5865;8422;2557;1320;751;1458;369;1965;
2015-06;Données définitives;Ile-de-France;104;;10;0;6;4;5;2;10;74;4889;-4785;;;;;;;;
2015-06;Données définitives;Occitanie;3002;1703;-2;;-2;0;920;137;198;45;2520;285;;;;;;;;
2015-06;Données définitives;Normandie;4261;3949;178;-2;57;122;10;73;17;32;1896;2365;;;;;;;;
2015-06;Données définitives;Hauts-de-France;3650;3040;196;3;0;192;0;315;19;77;3684;-33;;;;;;;;
2015-06;Données définitives;PACA;1236;;158;16;75;66;881;6;139;50;2872;-1636;;;;;;;;
2015-06;Données définitives;Pays-de-la-Loire;164;;7;-3;10;0;0;71;58;25;1810;-1646;;;;;;;;
2015-07;Données définitives;Grand-Est;9832;8330;353;111;3;238;696;338;68;45;3302;6421;;;;;;;;
2015-07;Données définitives;Nouvelle-Aquitaine;2927;2414;29;;3;26;78;53;227;123;3278;-350;;;;;;;;
2015-07;Données définitives;Auvergne-Rhône-Alpes;9703;7400;117;3;36;77;1952;57;106;70;5124;4350;;;;;;;;
2015-07;Données définitives;Bourgogne-Franche-Comté;125;;18;0;0;18;18;42;29;15;1534;-1410;;;;;;;;
2015-07;Données définitives;Bretagne;183;;1;;1;0;41;89;22;27;1509;-1330;;;;;;;;
2015-07;Données définitives;Centre-Val de Loire;5727;5540;0;;0;0;0;120;30;35;1364;4363;;;;;;;;
2015-07;Données définitives;France;41695;33272;1382;226;315;840;4044;1399;943;654;34912;6055;8563;2507;1366;668;1522;414;2084;
2015-07;Données définitives;Ile-de-France;105;;12;0;6;6;3;2;9;77;4903;-4798;;;;;;;;
2015-07;Données définitives;Occitanie;2727;1630;-2;;-2;0;650;189;196;62;2862;-311;;;;;;;;
2015-07;Données définitives;Normandie;5060;4751;174;-2;49;127;8;75;14;36;1895;3165;;;;;;;;
2015-07;Données définitives;Hauts-de-France;3879;3204;232;1;0;231;0;347;15;78;3645;233;;;;;;;;
2015-07;Données définitives;PACA;1106;;309;117;79;113;584;6;149;56;3395;-2288;;;;;;;;
2015-07;Données définitives;Pays-de-la-Loire;166;;15;-4;19;0;0;73;53;23;1896;-1729;;;;;;;;
2015-08;Données définitives;Grand-Est;8890;7893;40;32;3;5;557;293;60;44;2993;5791;;;;;;;;
2015-08;Données définitives;Nouvelle-Aquitaine;3415;2968;18;;2;15;63;46;206;111;2945;469;;;;;;;;
2015-08;Données définitives;Auvergne-Rhône-Alpes;9715;7848;41;0;30;11;1609;55;91;68;4508;4992;;;;;;;;
2015-08;Données définitives;Bourgogne-Franche-Comté;115;;17;0;0;17;17;38;26;15;1338;-1227;;;;;;;;
2015-08;Données définitives;Bretagne;180;;0;;0;0;48;83;20;28;1458;-1283;;;;;;;;
2015-08;Données définitives;Centre-Val de Loire;5885;5718;0;;0;0;0;101;27;38;1212;4673;;;;;;;;
2015-08;Données définitives;France;38939;31994;860;157;283;419;3439;1126;851;666;31603;6686;8175;1488;1342;688;1012;1151;2491;
2015-08;Données définitives;Ile-de-France;110;;3;0;2;1;4;3;8;91;4437;-4326;;;;;;;;
2015-08;Données définitives;Occitanie;1665;724;-2;;-2;0;539;154;181;67;2522;-1029;;;;;;;;
2015-08;Données définitives;Normandie;4730;4422;195;24;48;122;8;54;13;35;1764;2966;;;;;;;;
2015-08;Données définitives;Hauts-de-France;2967;2418;224;0;0;223;0;231;14;77;3318;-351;;;;;;;;
2015-08;Données définitives;PACA;877;;94;-1;74;21;581;5;134;62;3175;-2297;;;;;;;;
2015-08;Données définitives;Pays-de-la-Loire;244;;115;101;14;0;0;56;47;24;1736;-1491;;;;;;;;
2015-09;Données définitives;Grand-Est;7858;6346;447;200;3;242;478;491;45;48;3361;4413;;;;;;;;
2015-09;Données définitives;Nouvelle-Aquitaine;4082;3519;34;;7;27;157;77;177;115;2971;1111;;;;;;;;
2015-09;Données définitives;Auvergne-Rhône-Alpes;8018;6168;115;0;28;86;1519;70;73;70;4797;2973;;;;;;;;
2015-09;Données définitives;Bourgogne-Franche-Comté;165;;15;0;0;15;49;64;21;14;1530;-1368;;;;;;;;
2015-09;Données définitives;Bretagne;187;;0;;0;0;42;97;20;25;1499;-1316;;;;;;;;
2015-09;Données définitives;Centre-Val de Loire;6810;6584;0;;0;0;0;164;23;36;1292;5517;;;;;;;;
2015-09;Données définitives;France;39078;30643;1956;597;279;1079;3445;1674;715;641;33521;5005;7323;2317;1345;465;1679;486;1028;
2015-09;Données définitives;Ile-de-France;111;;6;0;4;1;5;6;7;86;4957;-4845;;;;;;;;
2015-09;Données définitives;Occitanie;1662;798;1;;1;0;487;164;151;59;2406;-820;;;;;;;;
2015-09;Données définitives;Normandie;5042;4635;271;80;48;142;8;80;12;33;1964;3078;;;;;;;;
2015-09;Données définitives;Hauts-de-France;3371;2590;350;3;2;343;0;346;11;71;3813;-441;;;;;;;;
2015-09;Données définitives;PACA;1160;;294;67;78;148;691;10;113;51;2929;-1768;;;;;;;;
2015-09;Données définitives;Pays-de-la-Loire;495;;327;246;12;69;0;95;44;27;1842;-1346;;;;;;;;
2015-10;Données définitives;Grand-Est;9288;7354;1072;320;3;748;481;300;27;52;3912;5268;;;;;;;;
2015-10;Données définitives;Nouvelle-Aquitaine;4848;4320;50;;9;41;163;74;141;97;3509;1339;;;;;;;;
2015-10;Données définitives;Auvergne-Rhône-Alpes;8797;6646;181;0;43;137;1796;62;48;62;5606;2892;;;;;;;;
2015-10;Données définitives;Bourgogne-Franche-Comté;132;;21;0;0;21;40;45;13;11;1795;-1666;;;;;;;;
2015-10;Données définitives;Bretagne;194;;1;;0;0;45;110;12;24;1755;-1566;;;;;;;;
2015-10;Données définitives;Centre-Val de Loire;5850;5685;2;;0;2;1;109;15;36;1540;4310;;;;;;;;
2015-10;Données définitives;France;44511;34489;3692;1009;318;2364;3899;1292;512;624;39170;4693;7339;2646;831;481;1522;1374;482;
2015-10;Données définitives;Ile-de-France;135;;24;1;16;7;6;3;4;96;6041;-5906;;;;;;;;
2015-10;Données définitives;Occitanie;2719;1838;-2;;-3;0;545;171;113;53;2801;-124;;;;;;;;
2015-10;Données définitives;Normandie;5902;5465;315;142;44;129;7;72;7;34;2290;3612;;;;;;;;
2015-10;Données définitives;Hauts-de-France;4014;3179;514;4;1;507;0;241;7;72;4363;-348;;;;;;;;
2015-10;Données définitives;PACA;1823;;881;211;93;576;797;8;82;52;3228;-1404;;;;;;;;
2015-10;Données définitives;Pays-de-la-Loire;701;;553;329;32;191;0;88;29;30;2176;-1474;;;;;;;;
2015-11;Données définitives;Grand-Est;10320;8143;994;248;4;741;454;651;16;60;4032;6194;;;;;;;;
2015-11;Données définitives;Nouvelle-Aquitaine;5034;4487;103;;7;95;136;88;96;121;3658;1375;;;;;;;;
2015-11;Données définitives;Auvergne-Rhône-Alpes;9258;7192;300;5;45;250;1563;75;40;86;5829;3141;;;;;;;;
2015-11;Données définitives;Bourgogne-Franche-Comté;231;;79;0;0;79;37;89;9;15;1890;-1662;;;;;;;;
2015-11;Données définitives;Bretagne;339;;65;;1;64;44;195;6;26;1844;-1510;;;;;;;;
2015-11;Données définitives;Centre-Val de Loire;6089;5757;52;;0;52;2;227;10;39;1607;4482;;;;;;;;
2015-11;Données définitives;France;47560;35681;4657;798;442;3416;3571;2544;376;728;41085;5736;7926;2190;828;1080;2105;2010;-288;
2015-11;Données définitives;Ile-de-France;464;;355;2;45;306;5;8;2;92;6252;-5787;;;;;;;;
2015-11;Données définitives;Occitanie;2815;1666;94;;49;44;655;241;88;67;3114;-458;;;;;;;;
2015-11;Données définitives;Normandie;6061;5339;503;221;53;228;6;168;4;39;2375;3686;;;;;;;;
2015-11;Données définitives;Hauts-de-France;4541;3092;700;11;4;684;0;661;3;83;4506;34;;;;;;;;
2015-11;Données définitives;PACA;1701;;902;160;120;621;652;10;74;61;3544;-1842;;;;;;;;
2015-11;Données définitives;Pays-de-la-Loire;592;;418;148;22;247;0;124;15;32;2257;-1665;;;;;;;;
2015-12;Données définitives;Grand-Est;10730;8742;807;202;4;600;512;590;16;60;4132;6480;;;;;;;;
2015-12;Données définitives;Nouvelle-Aquitaine;5059;4452;99;;5;93;164;111;94;137;4173;886;;;;;;;;
2015-12;Données définitives;Auvergne-Rhône-Alpes;10027;7878;256;5;41;209;1698;69;33;89;6269;3304;;;;;;;;
2015-12;Données définitives;Bourgogne-Franche-Comté;253;;82;0;0;82;57;87;8;16;2048;-1796;;;;;;;;
2015-12;Données définitives;Bretagne;428;;100;;0;100;46;250;5;26;2041;-1617;;;;;;;;
2015-12;Données définitives;Centre-Val de Loire;8196;7900;52;;0;52;1;195;8;37;1801;6395;;;;;;;;
2015-12;Données définitives;France;51764;40288;4152;773;385;2993;3676;2572;306;767;44727;6143;8406;2263;1059;1664;2090;2223;-894;
2015-12;Données définitives;Ile-de-France;450;;333;1;22;310;7;7;1;100;6778;-6327;;;;;;;;
2015-12;Données définitives;Occitanie;2744;1736;42;;-4;46;683;144;67;69;3566;-1001;;;;;;;;
2015-12;Données définitives;Normandie;6502;5736;513;223;52;237;8;202;3;37;2539;3963;;;;;;;;
2015-12;Données définitives;Hauts-de-France;5290;3841;591;10;2;578;1;758;3;93;4638;651;;;;;;;;
2015-12;Données définitives;PACA;1376;;787;164;125;497;479;3;41;64;3985;-2609;;;;;;;;
2015-12;Données définitives;Pays-de-la-Loire;573;;376;166;25;184;1;150;13;31;2536;-1962;;;;;;;;
2016-01;Données définitives;France;;;;;;;;;;;;;;;;;;;-977;
2016-02;Données définitives;France;;;;;;;;;;;;;;;;;;;-1029;
2016-03;Données définitives;France;;;;;;;;;;;;;;;;;;;-1124;
2016-04;Données définitives;France;;;;;;;;;;;;;;;;;;;211;
2016-05;Données définitives;France;;;;;;;;;;;;;;;;;;;1322;
2016-06;Données définitives;France;;;;;;;;;;;;;;;;;;;2070;
2016-07;Données définitives;France;;;;;;;;;;;;;;;;;;;232;
2016-08;Données définitives;France;;;;;;;;;;;;;;;;;;;-463;
2016-09;Données définitives;France;;;;;;;;;;;;;;;;;;;-794;
2016-10;Données définitives;France;;;;;;;;;;;;;;;;;;;-1272;
2016-11;Données définitives;France;;;;;;;;;;;;;;;;;;;-1683;
2016-12;Données définitives;France;;;;;;;;;;;;;;;;;;;-1846;
2017-01;Données définitives;France;;;;;;;;;;;;;;;;;;;-1465;
2017-02;Données définitives;France;;;;;;;;;;;;;;;;;;;-1063;
2017-03;Données définitives;France;;;;;;;;;;;;;;;;;;;-581;
2017-04;Données définitives;France;;;;;;;;;;;;;;;;;;;417;
2017-05;Données définitives;France;;;;;;;;;;;;;;;;;;;854;
2017-06;Données définitives;France;;;;;;;;;;;;;;;;;;;-300;
2017-07;Données définitives;France;;;;;;;;;;;;;;;;;;;-307;
2017-08;Données définitives;France;;;;;;;;;;;;;;;;;;;-120;
2017-09;Données définitives;France;;;;;;;;;;;;;;;;;;;-547;
2017-10;Données définitives;France;;;;;;;;;;;;;;;;;;;-2195;
2017-11;Données définitives;France;;;;;;;;;;;;;;;;;;;-2704;
2017-12;Données définitives;France;;;;;;;;;;;;;;;;;;;-2912;
2018-01;Données définitives;France;;;;;;;;;;;;;;;;;;;-223;
2018-02;Données définitives;France;;;;;;;;;;;;;;;;;;;-2669;
2018-03;Données définitives;France;;;;;;;;;;;;;;;;;;;-838;
2018-04;Données définitives;France;;;;;;;;;;;;;;;;;;;940;
2018-05;Données définitives;France;;;;;;;;;;;;;;;;;;;2642;
2018-06;Données définitives;France;;;;;;;;;;;;;;;;;;;2559;
2018-07;Données définitives;France;;;;;;;;;;;;;;;;;;;1385;
2018-08;Données définitives;France;;;;;;;;;;;;;;;;;;;812;
2018-09;Données définitives;France;;;;;;;;;;;;;;;;;;;1430;
2018-10;Données définitives;France;;;;;;;;;;;;;;;;;;;573;
2018-11;Données définitives;France;;;;;;;;;;;;;;;;;;;-288;
2018-12;Données définitives;France;;;;;;;;;;;;;;;;;;;-240;
2019-01;Données définitives;Grand-Est;;;;;;;;;;;;;;;;;;;;
2019-01;Données définitives;Nouvelle-Aquitaine;;;;;;;;;;;;;;;;;;;;
2019-01;Données définitives;Aix Marseille;;;;;;;;;;;;;;;;;;;;
2019-01;Données définitives;Auvergne-Rhône-Alpes;;;;;;;;;;;;;;;;;;;;
2019-01;Données définitives;Bourgogne-Franche-Comté;;;;;;;;;;;;;;;;;;;;
2019-01;Données définitives;Bordeaux;;;;;;;;;;;;;;;;;;;;
2019-01;Données définitives;Bretagne;;;;;;;;;;;;;;;;;;;;
2019-01;Données définitives;Brest;;;;;;;;;;;;;;;;;;;;
2019-01;Données définitives;Clermont Ferrand;;;;;;;;;;;;;;;;;;;;
2019-01;Données définitives;Centre-Val de Loire;;;;;;;;;;;;;;;;;;;;
2019-01;Données définitives;Dijon;;;;;;;;;;;;;;;;;;;;
2019-01;Données définitives;Strasbourg;;;;;;;;;;;;;;;;;;;;
2019-01;Données définitives;France;;;;;;;;;;;;;;;;;;;-2594;
2019-01;Données définitives;Grenoble;;;;;;;;;;;;;;;;;;;;
2019-01;Données définitives;Grand Lyon;;;;;;;;;;;;;;;;;;;;
2019-01;Données définitives;Nancy;;;;;;;;;;;;;;;;;;;;
2019-01;Données définitives;Grand Paris;;;;;;;;;;;;;;;;;;;;
2019-01;Données définitives;Ile-de-France;;;;;;;;;;;;;;;;;;;;
2019-01;Données définitives;Occitanie;;;;;;;;;;;;;;;;;;;;
2019-01;Données définitives;Lille;;;;;;;;;;;;;;;;;;;;
2019-01;Données définitives;Metz;;;;;;;;;;;;;;;;;;;;
2019-01;Données définitives;Montpellier;;;;;;;;;;;;;;;;;;;;
2019-01;Données définitives;Rouen;;;;;;;;;;;;;;;;;;;;
2019-01;Données définitives;Nantes;;;;;;;;;;;;;;;;;;;;
2019-01;Données définitives;Nice;;;;;;;;;;;;;;;;;;;;
2019-01;Données définitives;Normandie;;;;;;;;;;;;;;;;;;;;
2019-01;Données définitives;Hauts-de-France;;;;;;;;;;;;;;;;;;;;
2019-01;Données définitives;Orléans;;;;;;;;;;;;;;;;;;;;
2019-01;Données définitives;PACA;;;;;;;;;;;;;;;;;;;;
2019-01;Données définitives;Pays-de-la-Loire;;;;;;;;;;;;;;;;;;;;
2019-01;Données définitives;Rennes;;;;;;;;;;;;;;;;;;;;
2019-01;Données définitives;Saint Etienne;;;;;;;;;;;;;;;;;;;;
2019-01;Données définitives;Toulouse;;;;;;;;;;;;;;;;;;;;
2019-01;Données définitives;Toulon;;;;;;;;;;;;;;;;;;;;
2019-01;Données définitives;Tours;;;;;;;;;;;;;;;;;;;;
2019-02;Données définitives;Grand-Est;;;;;;;;;;;;;;;;;;;;
2019-02;Données définitives;Nouvelle-Aquitaine;;;;;;;;;;;;;;;;;;;;
2019-02;Données définitives;Aix Marseille;;;;;;;;;;;;;;;;;;;;
2019-02;Données définitives;Auvergne-Rhône-Alpes;;;;;;;;;;;;;;;;;;;;
2019-02;Données définitives;Bourgogne-Franche-Comté;;;;;;;;;;;;;;;;;;;;
2019-02;Données définitives;Bordeaux;;;;;;;;;;;;;;;;;;;;
2019-02;Données définitives;Bretagne;;;;;;;;;;;;;;;;;;;;
2019-02;Données définitives;Brest;;;;;;;;;;;;;;;;;;;;
2019-02;Données définitives;Clermont Ferrand;;;;;;;;;;;;;;;;;;;;
2019-02;Données définitives;Centre-Val de Loire;;;;;;;;;;;;;;;;;;;;
2019-02;Données définitives;Dijon;;;;;;;;;;;;;;;;;;;;
2019-02;Données définitives;Strasbourg;;;;;;;;;;;;;;;;;;;;
2019-02;Données définitives;France;;;;;;;;;;;;;;;;;;;-736;
2019-02;Données définitives;Grenoble;;;;;;;;;;;;;;;;;;;;
2019-02;Données définitives;Grand Lyon;;;;;;;;;;;;;;;;;;;;
2019-02;Données définitives;Nancy;;;;;;;;;;;;;;;;;;;;
2019-02;Données définitives;Grand Paris;;;;;;;;;;;;;;;;;;;;
2019-02;Données définitives;Ile-de-France;;;;;;;;;;;;;;;;;;;;
2019-02;Données définitives;Occitanie;;;;;;;;;;;;;;;;;;;;
2019-02;Données définitives;Lille;;;;;;;;;;;;;;;;;;;;
2019-02;Données définitives;Metz;;;;;;;;;;;;;;;;;;;;
2019-02;Données définitives;Montpellier;;;;;;;;;;;;;;;;;;;;
